,mobile_price,mobile_color,disp_size,resolution,os,num_cores,mp_speed,int_memory,ram,p_cam,f_cam,network,battery_power,mob_width,mob_height,mob_depth,mob_weight,brand
0,8999,3,16.56,6,10.0,8,2.0,32,3,4,12,3,5000,75.0,164.4,8.95,195.0,3
1,8999,0,16.56,6,10.0,8,2.0,32,3,4,12,3,5000,75.0,164.4,8.95,195.0,3
2,9999,0,16.56,6,10.0,8,2.0,64,4,4,12,3,5000,75.0,164.4,8.95,195.0,3
3,9999,3,16.56,6,10.0,8,2.0,64,4,4,12,3,5000,75.0,164.4,8.95,195.0,3
4,11999,6,16.51,6,10.0,8,2.0,128,4,36,3,3,5000,75.4,164.4,9.0,199.0,3
5,11999,3,16.51,6,10.0,8,2.0,128,4,36,3,3,5000,75.4,164.4,9.0,199.0,3
6,14999,6,16.0,11,9.0,8,2.3,64,6,37,3,3,4035,74.2,157.0,8.9,184.0,3
7,16999,6,16.0,11,9.0,8,2.3,128,8,37,3,3,4035,74.2,157.0,8.9,184.0,3
8,16999,0,16.0,11,9.0,8,2.3,128,8,37,3,3,4035,74.2,157.0,8.9,184.0,3
9,13999,0,16.0,11,9.0,8,2.3,64,4,37,3,3,4035,74.2,157.0,8.9,184.0,3
10,35999,3,16.51,12,9.0,8,2.96,256,12,42,3,3,4000,75.7,161.0,8.7,199.0,3
11,35999,0,16.51,12,9.0,8,2.96,256,12,42,3,3,4000,75.7,161.0,8.7,199.0,3
12,31999,0,16.51,12,9.0,8,2.96,128,8,42,3,3,4000,75.7,161.0,8.7,199.0,3
13,31999,3,16.51,12,9.0,8,2.96,128,8,42,3,3,4000,75.7,161.0,8.7,199.0,3
14,15490,1,16.0,11,8.1,8,1.95,128,8,17,3,3,3500,74.0,156.7,8.5,174.0,3
15,16999,0,16.26,11,9.0,8,2.3,64,4,44,3,2,4000,75.16,158.7,8.55,183.0,3
16,16999,3,16.26,11,9.0,8,2.3,64,4,44,3,2,4000,75.16,158.7,8.55,183.0,3
17,41999,2,16.36,12,10.0,8,2.8,128,8,41,9,4,4200,74.24,158.96,9.65,207.0,3
18,41999,6,16.36,12,10.0,8,2.8,128,8,41,9,4,4200,74.24,158.96,9.65,207.0,3
19,46999,6,16.36,12,10.0,8,2.8,256,12,41,9,4,4200,74.24,158.96,9.65,207.0,3
20,8999,0,16.56,6,10.0,8,2.0,32,3,3,12,3,5000,75.0,164.4,8.95,195.0,3
21,16999,3,16.51,12,10.0,8,2.05,128,6,43,3,3,4300,74.8,162.1,9.6,191.0,3
22,19999,2,16.76,12,10.0,8,2.3,128,8,41,2,3,4300,75.8,163.9,9.4,195.0,3
23,19999,0,16.76,12,10.0,8,2.3,128,8,41,2,3,4300,75.8,163.9,9.4,195.0,3
24,6999,1,15.49,5,9.0,8,2.0,32,2,10,12,3,4000,73.7,154.3,8.5,166.0,3
25,6999,0,15.49,5,9.0,8,2.0,32,2,10,12,3,4000,73.7,154.3,8.5,166.0,3
26,7499,1,15.49,5,9.0,8,2.0,32,3,10,12,3,4000,73.7,154.3,8.5,166.0,3
27,7499,0,15.49,5,9.0,8,2.0,32,3,10,12,3,4000,73.7,154.3,8.5,166.0,3
28,7499,2,15.49,5,9.0,8,2.0,32,3,10,12,3,4000,73.7,154.3,8.5,166.0,3
29,17999,0,16.51,12,10.0,8,2.05,128,8,43,3,3,4300,74.8,162.1,9.6,191.0,3
30,7499,0,15.49,5,9.0,8,2.0,32,3,10,12,3,4000,73.7,154.3,8.5,166.0,3
31,13999,6,16.0,11,9.0,8,2.3,64,4,37,3,3,4035,74.2,157.0,8.9,184.0,3
32,11999,2,16.51,6,9.0,8,2.0,128,4,36,1,3,5000,75.6,164.4,9.3,198.0,3
33,10999,0,16.51,6,9.0,8,2.0,64,4,36,1,3,5000,75.6,164.4,9.3,198.0,3
34,11999,5,16.51,6,9.0,8,2.0,128,4,36,1,3,5000,75.6,164.4,9.3,198.0,3
35,10999,2,16.51,6,9.0,8,2.0,64,4,36,1,3,5000,75.6,164.4,9.3,198.0,3
36,11999,0,16.51,6,9.0,8,2.0,128,4,36,1,3,5000,75.6,164.4,9.3,198.0,3
37,10999,5,16.51,6,9.0,8,2.0,64,4,36,1,3,5000,75.6,164.4,9.3,198.0,3
38,29999,0,16.51,12,9.0,8,2.96,64,6,42,3,3,4000,75.7,161.0,8.7,199.0,3
39,29999,3,16.51,12,9.0,8,2.96,64,6,42,3,3,4000,75.7,161.0,8.7,199.0,3
40,36999,2,16.51,12,9.0,8,2.96,256,12,42,3,3,4000,75.7,161.0,8.7,199.0,3
41,36999,7,16.51,12,9.0,8,2.96,256,12,42,3,3,4000,75.7,161.0,8.7,199.0,3
42,17999,3,16.51,12,10.0,8,2.05,128,8,43,3,3,4300,74.8,162.1,9.6,191.0,3
43,19999,3,16.26,11,9.0,8,2.2,128,6,43,10,3,4000,75.2,158.7,8.6,182.0,3
44,19999,6,16.26,11,9.0,8,2.2,128,6,43,10,3,4000,75.2,158.7,8.6,182.0,3
45,17999,0,16.26,11,9.0,8,2.2,64,4,43,10,3,4000,75.2,158.7,8.6,182.0,3
46,17999,6,16.26,11,9.0,8,2.2,64,4,43,10,3,4000,75.2,158.7,8.6,182.0,3
47,20999,6,16.26,11,9.0,8,2.2,128,8,43,10,3,4000,75.2,158.7,8.6,182.0,3
48,19999,0,16.26,11,9.0,8,2.2,128,6,43,10,3,4000,75.2,158.7,8.6,182.0,3
49,20999,0,16.26,11,9.0,8,2.2,128,8,43,10,3,4000,75.2,158.7,8.6,182.0,3
50,20999,3,16.26,11,9.0,8,2.2,128,8,43,10,3,4000,75.2,158.7,8.6,182.0,3
51,6499,0,15.49,5,9.0,8,2.0,16,2,10,12,3,4000,73.7,154.3,8.5,166.0,3
52,11999,0,16.51,6,10.0,8,2.0,128,4,36,3,3,5000,75.4,164.4,9.0,199.0,3
53,25999,0,16.69,12,10.0,8,2.96,128,8,41,2,3,4200,75.8,163.8,9.3,202.0,3
54,24999,0,16.69,12,10.0,8,2.96,128,6,41,2,3,4200,75.8,163.8,9.3,202.0,3
55,25999,3,16.69,12,10.0,8,2.96,128,8,41,2,3,4200,75.8,163.8,9.3,202.0,3
56,27999,0,16.69,12,10.0,8,2.96,128,8,47,9,3,4200,75.8,163.8,9.3,202.0,3
